raw	safe
CCL2_Extracellular	CCL2_Extracellular
CCL2_M1 Cytoplasm	CCL2_M1_Cytoplasm
CCL2_M2 Cytoplasm	CCL2_M2_Cytoplasm
CCL2_SGEC Cytoplasm	CCL2_SGEC_Cytoplasm
CCL2_Secreted	CCL2_Secreted
CCL2_gene_M1 Nucleus	CCL2_gene_M1_Nucleus
CCL2_gene_M2 Nucleus	CCL2_gene_M2_Nucleus
CCL2_gene_SGEC Nucleus	CCL2_gene_SGEC_Nucleus
CCL3	CCL3
CCL3_gene	CCL3_gene
CCL3_rna	CCL3_rna
CCL4	CCL4
CCL4_gene_M1 Nucleus	CCL4_gene_M1_Nucleus
CCL4_gene_M2 Nucleus	CCL4_gene_M2_Nucleus
CCL4_gene_TH1 Nucleus	CCL4_gene_TH1_Nucleus
CCL5/CCR5_complex_M1 Cytoplasm	CCL5_CCR5_complex_M1_Cytoplasm
CCL5/CCR5_complex_M2 Cytoplasm	CCL5_CCR5_complex_M2_Cytoplasm
CCL5/CCR5_complex_TH1 Cytoplasm	CCL5_CCR5_complex_TH1_Cytoplasm
CCL5_Extracellular	CCL5_Extracellular
CCL5_Secreted	CCL5_Secreted
CCL5_gene_M1 Nucleus	CCL5_gene_M1_Nucleus
CCL5_gene_TH1 Nucleus	CCL5_gene_TH1_Nucleus
CCR1_M1 Cytoplasm	CCR1_M1_Cytoplasm
CCR1_M1 Cytoplasm_1	CCR1_M1_Cytoplasm_1
CCR1_M2 Cytoplasm	CCR1_M2_Cytoplasm
CCR1_M2 Cytoplasm_1	CCR1_M2_Cytoplasm_1
CCR1_TH1 Cytoplasm	CCR1_TH1_Cytoplasm
CCR1_TH1 Cytoplasm_1	CCR1_TH1_Cytoplasm_1
CCR2_M1 Cytoplasm	CCR2_M1_Cytoplasm
CCR2_M1 Cytoplasm_1	CCR2_M1_Cytoplasm_1
CCR2_M2 Cytoplasm	CCR2_M2_Cytoplasm
CCR2_M2 Cytoplasm_1	CCR2_M2_Cytoplasm_1
CCR3_M2 Cytoplasm	CCR3_M2_Cytoplasm
CCR3_M2 Cytoplasm_1	CCR3_M2_Cytoplasm_1
CCR5_M1 Cytoplasm	CCR5_M1_Cytoplasm
CCR5_M1 Cytoplasm_1	CCR5_M1_Cytoplasm_1
CCR5_M2 Cytoplasm	CCR5_M2_Cytoplasm
CCR5_M2 Cytoplasm_1	CCR5_M2_Cytoplasm_1
CCR5_TH1 Cytoplasm	CCR5_TH1_Cytoplasm
CCR5_TH1 Cytoplasm_1	CCR5_TH1_Cytoplasm_1
CCR6_BCELL Cytoplasm	CCR6_BCELL_Cytoplasm
CCR6_BCELL Cytoplasm_1	CCR6_BCELL_Cytoplasm_1
CCR6_TH17 Cytoplasm	CCR6_TH17_Cytoplasm
CCR6_TH17 Cytoplasm_1	CCR6_TH17_Cytoplasm_1
CCR7_M1 Cytoplasm	CCR7_M1_Cytoplasm
CCR7_M1 Cytoplasm_1	CCR7_M1_Cytoplasm_1
CCR9_PLASMA Cytoplasm	CCR9_PLASMA_Cytoplasm
CCR9_PLASMA Cytoplasm_1	CCR9_PLASMA_Cytoplasm_1
CCR9_TH1 Cytoplasm	CCR9_TH1_Cytoplasm
CCR9_TH1 Cytoplasm_1	CCR9_TH1_Cytoplasm_1
CCRL2_M1 Cytoplasm	CCRL2_M1_Cytoplasm
CCRL2_M1 Cytoplasm_1	CCRL2_M1_Cytoplasm_1
CCRL2_M2 Cytoplasm	CCRL2_M2_Cytoplasm
CCRL2_M2 Cytoplasm_1	CCRL2_M2_Cytoplasm_1
CCRL2_PDC Cytoplasm	CCRL2_PDC_Cytoplasm
CCRL2_PDC Cytoplasm_1	CCRL2_PDC_Cytoplasm_1
CD14_M1 Cytoplasm	CD14_M1_Cytoplasm
CD14_M1 Cytoplasm_1	CD14_M1_Cytoplasm_1
CD14_M2 Cytoplasm	CD14_M2_Cytoplasm
CD14_M2 Cytoplasm_1	CD14_M2_Cytoplasm_1
CD22_BCELL Cytoplasm	CD22_BCELL_Cytoplasm
CD22_BCELL Cytoplasm_1	CD22_BCELL_Cytoplasm_1
CD22_PLASMA Cytoplasm	CD22_PLASMA_Cytoplasm
CD27	CD27
CD27/CD70_complex_BCELL Cytoplasm	CD27_CD70_complex_BCELL_Cytoplasm
CD27/CD70_complex_PDC Cytoplasm	CD27_CD70_complex_PDC_Cytoplasm
CD27/CD70_complex_PLASMA Cytoplasm	CD27_CD70_complex_PLASMA_Cytoplasm
CD27/CD70_complex_TFH Cytoplasm	CD27_CD70_complex_TFH_Cytoplasm
CD27/CD70_complex_TH1 Cytoplasm	CD27_CD70_complex_TH1_Cytoplasm
CD27/CD70_complex_TH17 Cytoplasm	CD27_CD70_complex_TH17_Cytoplasm
CD27/CD70_complex_TREG Cytoplasm	CD27_CD70_complex_TREG_Cytoplasm
CD36_M1 Cytoplasm	CD36_M1_Cytoplasm
CD36_M1 Cytoplasm_1	CD36_M1_Cytoplasm_1
CD36_M2 Cytoplasm	CD36_M2_Cytoplasm
CD36_M2 Cytoplasm_1	CD36_M2_Cytoplasm_1
CD36_SGEC Cytoplasm	CD36_SGEC_Cytoplasm
CD36_SGEC Cytoplasm_1	CD36_SGEC_Cytoplasm_1
CD3D_TFH Cytoplasm	CD3D_TFH_Cytoplasm
CD3D_TFH Cytoplasm_1	CD3D_TFH_Cytoplasm_1
CD3D_TH1 Cytoplasm	CD3D_TH1_Cytoplasm
CD3D_TH1 Cytoplasm_1	CD3D_TH1_Cytoplasm_1
CD3D_TH17 Cytoplasm	CD3D_TH17_Cytoplasm
CD3D_TH17 Cytoplasm_1	CD3D_TH17_Cytoplasm_1
CD3D_TREG Cytoplasm	CD3D_TREG_Cytoplasm
CD3D_TREG Cytoplasm_1	CD3D_TREG_Cytoplasm_1
CD3E_TFH Cytoplasm	CD3E_TFH_Cytoplasm
CD3E_TFH Default	CD3E_TFH_Default
