node_id	node_name	node_type	compartment_id	celltype	confidence	rule	evidence	plausibility_score	source
20528	XIAP	Protein	20513	TH17	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20528	XIAP	Protein	20513	TREG	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	70	X-IAP
20529	AKT	Protein	20513	BCELL	MEDIUM	R4	R-HSA-983705	80	Reactome:R-HSA-983705 via MINERVA notes
20529	AKT	Protein	20513	PLASMA	MEDIUM	R4	R-HSA-983705	80	Reactome:R-HSA-983705 via MINERVA notes
20530	PTPN2	Protein	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	M1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	M2	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	PDC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	PLASMA	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	SGEC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	TFH	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	TH1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	TH17	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20530	PTPN2	Protein	20513	TREG	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	TC-PTP ubiquitous PMID:21646515
20531	CARD11/BCL10/MALT1	Complex	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	82	CBM complex lymphoid
20531	CARD11/BCL10/MALT1	Complex	20513	PLASMA	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	82	CBM complex lymphoid
20531	CARD11/BCL10/MALT1	Complex	20513	TFH	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	82	CBM complex lymphoid
20531	CARD11/BCL10/MALT1	Complex	20513	TH1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	82	CBM complex lymphoid
20531	CARD11/BCL10/MALT1	Complex	20513	TH17	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	82	CBM complex lymphoid
20531	CARD11/BCL10/MALT1	Complex	20513	TREG	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	82	CBM complex lymphoid
20532	CARD11	Protein	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	82	CBM signalosome; PMID:14684827 lymphoid
20532	CARD11	Protein	20513	PLASMA	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	82	CBM signalosome; PMID:14684827 lymphoid
20532	CARD11	Protein	20513	TFH	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	82	CBM signalosome; PMID:14684827 lymphoid
20532	CARD11	Protein	20513	TH1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	82	CBM signalosome; PMID:14684827 lymphoid
20532	CARD11	Protein	20513	TH17	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	82	CBM signalosome; PMID:14684827 lymphoid
20532	CARD11	Protein	20513	TREG	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	82	CBM signalosome; PMID:14684827 lymphoid
20533	BCL10	Protein	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	M1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	M2	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	PLASMA	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	TFH	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	TH1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	TH17	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
20533	BCL10	Protein	20513	TREG	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome PMID:14684827
