Species_ID,Relation1,Identifier1,Constant,InitialLevel,Comments
FAS_BCELL Cytoplasm_1,isDescribedBy,,False,,sa_BCELL_s20832 BCELL_s20832
ADAR1_space_homodimer_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20833 BCELL_s20833
RELB_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20837 BCELL_s20837
NFKB2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20838 BCELL_s20838
ISG20_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20840 BCELL_s20840
HDAC3_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20841 BCELL_s20841
TAB2_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20843 BCELL_s20843
TAB3_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20844 BCELL_s20844
TAB1_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20845 BCELL_s20845
CCR6_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20855 BCELL_s20855
PLCG_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20856 BCELL_s20856
TIRAP_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20859 BCELL_s20859
BAD_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20860 BCELL_s20860
"MAPK8,9,10_BCELL Cytoplasm",isDescribedBy,,True,,sa_BCELL_s20866 BCELL_s20866
CCL20/CCR6_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20873 BCELL_s20873
CCR6_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20875 BCELL_s20875
IFI6_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20876 BCELL_s20876
ARF1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20877 BCELL_s20877
PI3K_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20878 BCELL_s20878
EIF2AK2_space_homodimer_BCELL Cytoplasm_1,isDescribedBy,,False,,sa_BCELL_s20879 BCELL_s20879
TICAM2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20883 BCELL_s20883
PRMT5_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20884 BCELL_s20884
MAPK3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20885 BCELL_s20885
SOCS2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20886 BCELL_s20886
