Target,Level,Rule,Relation1,Identifier1
TRAF3_BCELL Cytoplasm_1,1,(TICAM1_BCELL Cytoplasm|MAVS_BCELL Cytoplasm),isDescribedBy,
HLA-A_BCELL Cytoplasm,1,HLA-A_rna_BCELL Nucleus,isDescribedBy,
MAP2K3_BCELL Cytoplasm,1,(MAP3K5_BCELL Cytoplasm|MAP3K7_BCELL Cytoplasm),isDescribedBy,
BAFF-APRIL/TACI_complex,1,(TNFSF13&TNFRSF13B_BCELL Cytoplasm|TNFSF13B_Extracellular&TNFRSF13B_BCELL Cytoplasm),isDescribedBy,
IL21R_complex_BCELL Cytoplasm,1,IL21_Secreted,isDescribedBy,
MAP2K4_BCELL Cytoplasm,1,(Allergen/IgE/FCERI_complex_BCELL Cytoplasm|MAP3K1_BCELL Cytoplasm|MAP3K7_BCELL Cytoplasm),isDescribedBy,
CD40LG/CD40_complex_BCELL Cytoplasm,1,CD40LG&CD40_BCELL Cytoplasm,isDescribedBy,
BIRC2_BCELL Cytoplasm,1,BIRC2_BCELL Cytoplasm_1&RIPK1/TRAF2/TRAF5_complex_BCELL Cytoplasm,isDescribedBy,
IFIT1_BCELL Cytoplasm,1,IFIT1_rna_BCELL Nucleus,isDescribedBy,
MAP3K1_BCELL Cytoplasm,1,RAC1_BCELL Cytoplasm,isDescribedBy,
LYN_BCELL Cytoplasm,1,(BCR_complex_BCELL Cytoplasm|Allergen/IgE/FCERI_complex_BCELL Cytoplasm)&!sialic_acid/CD22_complex_BCELL Cytoplasm,isDescribedBy,
MAP3K14_BCELL Cytoplasm,1,TRAF2/TRAF3_complex_BCELL Cytoplasm_1,isDescribedBy,
MX1_BCELL Cytoplasm,1,MX1_rna_BCELL Nucleus,isDescribedBy,
TLR4_BCELL Cytoplasm,1,LPS,isDescribedBy,
NFKB1/RELA_complex_BCELL Cytoplasm,1,(CHUK/IKBKB/IKBKG_complex_BCELL Cytoplasm|NFKB1_rna_BCELL Nucleus|PRMT5_BCELL Cytoplasm)&!TNFAIP3_BCELL Cytoplasm&!NFKBIA_BCELL Cytoplasm,isDescribedBy,
RIGI_BCELL Cytoplasm,1,(dsRNA_BCELL Cytoplasm|TRIM25_BCELL Cytoplasm)&!ISG15_BCELL Cytoplasm&!UBE2L6_BCELL Cytoplasm,isDescribedBy,
MAP2K1_BCELL Cytoplasm,1,RAF_BCELL Cytoplasm,isDescribedBy,
HLA-C_BCELL Cytoplasm,1,HLA-C_rna_BCELL Nucleus,isDescribedBy,
MTORC1_complex_BCELL Cytoplasm,1,AKT_BCELL Cytoplasm,isDescribedBy,
TRAIL/TRAILR_complex_BCELL Cytoplasm,1,"TNFSF10&TNFRSF10A,B_BCELL Cytoplasm_1",isDescribedBy,
GBP6_BCELL Cytoplasm,1,GBP6_rna_BCELL Nucleus,isDescribedBy,
HLA-DQA2_BCELL Cytoplasm,1,HLA-DQA2_rna_BCELL Nucleus,isDescribedBy,
TRIM5_BCELL Cytoplasm,1,TRIM5_rna_BCELL Nucleus,isDescribedBy,
JAK1_BCELL Cytoplasm,1,(IFNA/IFNAR_complex_BCELL Cytoplasm|IFNG/IFNGR_complex_BCELL Cytoplasm|IL7/IL7R_complex_BCELL Cytoplasm|IL2/IL2R_complex_BCELL Cytoplasm|IFNB/IFNAR_complex_BCELL Cytoplasm|IL21/IL21R_complex_BCELL Cytoplasm|IL15R_complex_BCELL Cytoplasm_1|IL6/IL6R_complex_BCELL Cytoplasm)&!SOCS1_BCELL Cytoplasm&!PTPN6_BCELL Cytoplasm&!SOCS2_BCELL Cytoplasm&!SOCS3_BCELL Cytoplasm&!CISH_BCELL Cytoplasm,isDescribedBy,
MAVS_BCELL Cytoplasm,1,(RIGI_BCELL Cytoplasm|IFIH1_BCELL Cytoplasm)&!NLRX1_BCELL Cytoplasm&!MARCHF8_BCELL Cytoplasm,isDescribedBy,
STAT1/STAT2_complex_BCELL Cytoplasm,1,STAT1_BCELL Cytoplasm_3&STAT2_BCELL Cytoplasm,isDescribedBy,
PTK2_BCELL Cytoplasm,1,VCAM/ITGA4/ITGB1_complex_BCELL Cytoplasm,isDescribedBy,
IL6/IL6R_complex_BCELL Cytoplasm,1,IL6_Extracellular&IL6R_complex_BCELL Cytoplasm,isDescribedBy,
STAT3_space_homodimer_BCELL Cytoplasm,1,STAT3_BCELL Cytoplasm,isDescribedBy,
IL7/IL7R_complex_BCELL Cytoplasm,1,IL7&IL7R_complex_BCELL Cytoplasm,isDescribedBy,
IL21/IL21R_complex_BCELL Cytoplasm,1,IL21_Extracellular&IL21R_complex_BCELL Cytoplasm,isDescribedBy,
MAP3K5_BCELL Cytoplasm,1,DAXX_BCELL Cytoplasm_1,isDescribedBy,
MDM2_BCELL Cytoplasm,1,MDM2_rna_BCELL Nucleus,isDescribedBy,
JAK2_BCELL Cytoplasm,1,(IFNG/IFNGR_complex_BCELL Cytoplasm|IL12/IL12R_complex_BCELL Cytoplasm|IL6/IL6R_complex_BCELL Cytoplasm)&!SOCS1_BCELL Cytoplasm&!SOCS2_BCELL Cytoplasm&!SOCS3_BCELL Cytoplasm,isDescribedBy,
STAT1/STAT2/IRF9_complex_BCELL Cytoplasm,1,IRF9_BCELL Cytoplasm&STAT1/STAT2_complex_BCELL Cytoplasm,isDescribedBy,
